Header,HeaderTime,Footer,URL
0.11387581259807218,0.0,0.11335276096540386,0.04483299708585519
0.10002011128242945,0.0,0.0,0.034658443386739964
0.1322906484196807,0.0,0.0,0.007773588418749709
0.05244947707792719,0.0,0.0,0.0
0.07301014177242075,0.0,0.0,0.0
0.11448450347881088,0.0,0.0,0.0
0.11083803190207701,0.0,0.0,0.02327598669943617
0.038834951456310676,0.0,0.0,0.0
0.07854984894259819,0.0,0.0,0.030211480362537766
0.04864,0.0,0.0,0.01936
0.11272002080985,0.0,0.0,0.003468308332610769
0.04887585532746823,0.0,0.0,0.01745566261695294
0.08958436827289286,0.0,0.007837942264171772,0.007837942264171772
0.16071927699618,0.0,0.0,0.0
0.10109431995831163,0.0,0.0,0.0
