,Recording timestamp,Participant name,Recording duration,Recording resolution height,Recording resolution width,Average calibration accuracy (pixels),Average calibration precision SD (pixels),Event,Event value,Gaze point X,Gaze point Y,Presented Media name,Eye movement type
0,0,ID011,426389,1080,1920,3,10,RecordingStart,,,,,
1,141928,ID011,426389,1080,1920,3,10,Eye tracker TTL in,255,,,,EyesNotFound
2,141928,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
3,150272,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
4,158605,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
5,166939,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
6,175272,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
7,183606,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
8,191939,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
9,200272,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
10,208606,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
11,216939,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
12,225272,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
13,233606,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
14,241939,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
15,250273,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
16,258606,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
17,266939,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
18,275273,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
19,283606,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
20,291940,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
21,300273,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
22,308606,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
23,316940,ID011,426389,1080,1920,3,10,,,,,,EyesNotFound
24,325279,ID011,426389,1080,1920,3,10,,,689.0,464.0,,Fixation
25,333611,ID011,426389,1080,1920,3,10,,,692.0,461.0,,Fixation
26,341945,ID011,426389,1080,1920,3,10,,,694.0,469.0,,Fixation
27,350278,ID011,426389,1080,1920,3,10,,,685.0,459.0,,Fixation
28,358612,ID011,426389,1080,1920,3,10,,,686.0,460.0,,Fixation
29,366945,ID011,426389,1080,1920,3,10,,,690.0,468.0,,Fixation
30,375280,ID011,426389,1080,1920,3,10,,,692.0,468.0,,Fixation
31,383613,ID011,426389,1080,1920,3,10,,,692.0,465.0,,Fixation
32,391947,ID011,426389,1080,1920,3,10,,,696.0,471.0,,Fixation
33,400281,ID011,426389,1080,1920,3,10,,,697.0,471.0,,Fixation
34,408614,ID011,426389,1080,1920,3,10,,,697.0,471.0,,Fixation
35,416947,ID011,426389,1080,1920,3,10,,,697.0,474.0,,Fixation
36,425280,ID011,426389,1080,1920,3,10,,,700.0,475.0,,Fixation
37,433613,ID011,426389,1080,1920,3,10,,,699.0,477.0,,Fixation
38,441946,ID011,426389,1080,1920,3,10,,,698.0,471.0,,Fixation
39,450278,ID011,426389,1080,1920,3,10,,,698.0,473.0,,Fixation
40,458611,ID011,426389,1080,1920,3,10,,,696.0,477.0,,Saccade
41,466943,ID011,426389,1080,1920,3,10,,,654.0,431.0,,Saccade
42,475276,ID011,426389,1080,1920,3,10,,,608.0,365.0,,Saccade
43,483609,ID011,426389,1080,1920,3,10,,,561.0,288.0,,Saccade
44,491941,ID011,426389,1080,1920,3,10,,,521.0,245.0,,Saccade
