,Recording timestamp,Participant name,Recording duration,Recording resolution height,Recording resolution width,Average calibration accuracy (pixels),Average calibration precision SD (pixels),Event,Event value,Gaze point X,Gaze point Y,Presented Media name,Eye movement type
0,0,ID001,266802,1080,1920,8,7,RecordingStart,,,,,
1,122988,ID001,266802,1080,1920,8,7,Eye tracker TTL in,255,,,,EyesNotFound
2,122988,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
3,131321,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
4,139654,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
5,147987,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
6,156320,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
7,164653,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
8,172986,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
9,181319,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
10,189652,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
11,197984,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
12,206317,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
13,214650,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
14,222983,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
15,231316,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
16,239649,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
17,247982,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
18,256315,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
19,264648,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
20,272981,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
21,281314,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
22,289647,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
23,297989,ID001,266802,1080,1920,8,7,,,894.0,666.0,,Saccade
24,306322,ID001,266802,1080,1920,8,7,,,912.0,663.0,,Saccade
25,314655,ID001,266802,1080,1920,8,7,,,920.0,633.0,,Saccade
26,322988,ID001,266802,1080,1920,8,7,,,906.0,631.0,,Unclassified
27,331322,ID001,266802,1080,1920,8,7,,,901.0,619.0,,Saccade
28,339655,ID001,266802,1080,1920,8,7,,,905.0,603.0,,Unclassified
29,347988,ID001,266802,1080,1920,8,7,,,911.0,610.0,,Unclassified
30,356322,ID001,266802,1080,1920,8,7,,,909.0,603.0,,Unclassified
31,364655,ID001,266802,1080,1920,8,7,,,902.0,602.0,,Unclassified
32,372988,ID001,266802,1080,1920,8,7,,,908.0,619.0,,Saccade
33,381322,ID001,266802,1080,1920,8,7,,,907.0,640.0,,Saccade
34,389655,ID001,266802,1080,1920,8,7,,,927.0,676.0,,Saccade
35,397987,ID001,266802,1080,1920,8,7,,,896.0,735.0,,Saccade
36,406321,ID001,266802,1080,1920,8,7,,,1124.0,1073.0,,Saccade
37,414654,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
38,422987,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
39,431321,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
40,439654,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
41,447987,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
42,456321,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
43,464654,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
44,472987,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
45,481321,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
46,489654,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
47,497986,ID001,266802,1080,1920,8,7,,,,,,EyesNotFound
48,506320,ID001,266802,1080,1920,8,7,,,975.0,1237.0,,Saccade
49,514653,ID001,266802,1080,1920,8,7,,,991.0,692.0,,Saccade
50,522986,ID001,266802,1080,1920,8,7,,,910.0,570.0,,Saccade
51,531320,ID001,266802,1080,1920,8,7,,,967.0,541.0,,Saccade
52,539653,ID001,266802,1080,1920,8,7,,,915.0,561.0,,Saccade
53,547986,ID001,266802,1080,1920,8,7,,,884.0,495.0,,Saccade
54,556320,ID001,266802,1080,1920,8,7,,,887.0,465.0,,Saccade
55,564653,ID001,266802,1080,1920,8,7,,,873.0,431.0,,Saccade
56,572986,ID001,266802,1080,1920,8,7,,,870.0,424.0,,Unclassified
57,581320,ID001,266802,1080,1920,8,7,,,871.0,434.0,,Unclassified
58,589653,ID001,266802,1080,1920,8,7,,,871.0,431.0,,Unclassified
59,597985,ID001,266802,1080,1920,8,7,,,848.0,453.0,,Unclassified
60,606319,ID001,266802,1080,1920,8,7,,,869.0,437.0,,Unclassified
61,614652,ID001,266802,1080,1920,8,7,,,877.0,442.0,,Unclassified
62,622985,ID001,266802,1080,1920,8,7,,,870.0,462.0,,Saccade
63,631319,ID001,266802,1080,1920,8,7,,,865.0,460.0,,Fixation
64,639652,ID001,266802,1080,1920,8,7,,,862.0,469.0,,Fixation
65,647985,ID001,266802,1080,1920,8,7,,,876.0,457.0,,Fixation
66,656319,ID001,266802,1080,1920,8,7,,,870.0,455.0,,Fixation
67,664652,ID001,266802,1080,1920,8,7,,,867.0,440.0,,Fixation
68,672985,ID001,266802,1080,1920,8,7,,,864.0,453.0,,Fixation
69,681319,ID001,266802,1080,1920,8,7,,,871.0,437.0,,Fixation
70,689652,ID001,266802,1080,1920,8,7,,,874.0,437.0,,Fixation
71,697984,ID001,266802,1080,1920,8,7,,,872.0,446.0,,Fixation
72,706318,ID001,266802,1080,1920,8,7,,,874.0,454.0,,Fixation
73,714651,ID001,266802,1080,1920,8,7,,,879.0,462.0,,Fixation
74,722984,ID001,266802,1080,1920,8,7,,,868.0,469.0,,Fixation
75,731318,ID001,266802,1080,1920,8,7,,,868.0,467.0,,Fixation
76,739651,ID001,266802,1080,1920,8,7,,,874.0,466.0,,Fixation
77,747984,ID001,266802,1080,1920,8,7,,,870.0,466.0,,Fixation
78,756318,ID001,266802,1080,1920,8,7,,,867.0,468.0,,Fixation
79,764651,ID001,266802,1080,1920,8,7,,,871.0,458.0,,Fixation
80,772984,ID001,266802,1080,1920,8,7,,,862.0,467.0,,Fixation
81,781318,ID001,266802,1080,1920,8,7,,,860.0,466.0,,Fixation
82,789651,ID001,266802,1080,1920,8,7,,,864.0,455.0,,Fixation
83,797983,ID001,266802,1080,1920,8,7,,,870.0,453.0,,Fixation
84,806317,ID001,266802,1080,1920,8,7,,,862.0,455.0,,Fixation
85,814650,ID001,266802,1080,1920,8,7,,,854.0,459.0,,Fixation
86,822983,ID001,266802,1080,1920,8,7,,,867.0,454.0,,Fixation
87,831317,ID001,266802,1080,1920,8,7,,,868.0,452.0,,Fixation
88,839650,ID001,266802,1080,1920,8,7,,,859.0,466.0,,Fixation
89,847983,ID001,266802,1080,1920,8,7,,,868.0,451.0,,Fixation
90,856317,ID001,266802,1080,1920,8,7,,,860.0,460.0,,Fixation
91,864650,ID001,266802,1080,1920,8,7,,,858.0,460.0,,Fixation
92,872983,ID001,266802,1080,1920,8,7,,,863.0,457.0,,Fixation
93,881317,ID001,266802,1080,1920,8,7,,,857.0,456.0,,Fixation
94,889650,ID001,266802,1080,1920,8,7,,,855.0,461.0,,Fixation
95,897982,ID001,266802,1080,1920,8,7,,,855.0,465.0,,Fixation
96,906316,ID001,266802,1080,1920,8,7,,,850.0,464.0,,Fixation
97,914649,ID001,266802,1080,1920,8,7,,,842.0,466.0,,Fixation
98,922982,ID001,266802,1080,1920,8,7,,,853.0,458.0,,Fixation
99,931316,ID001,266802,1080,1920,8,7,,,850.0,456.0,,Fixation
100,939649,ID001,266802,1080,1920,8,7,,,851.0,458.0,,Fixation
101,947982,ID001,266802,1080,1920,8,7,,,858.0,453.0,,Fixation
102,956316,ID001,266802,1080,1920,8,7,,,859.0,453.0,,Fixation
103,964649,ID001,266802,1080,1920,8,7,,,861.0,449.0,,Fixation
104,972982,ID001,266802,1080,1920,8,7,,,861.0,454.0,,Fixation
105,981316,ID001,266802,1080,1920,8,7,,,851.0,451.0,,Fixation
106,989649,ID001,266802,1080,1920,8,7,,,863.0,445.0,,Fixation
107,997982,ID001,266802,1080,1920,8,7,,,857.0,445.0,,Fixation
108,1006315,ID001,266802,1080,1920,8,7,,,864.0,443.0,,Fixation
109,1014648,ID001,266802,1080,1920,8,7,,,852.0,450.0,,Fixation
110,1022981,ID001,266802,1080,1920,8,7,,,859.0,452.0,,Fixation
111,1031315,ID001,266802,1080,1920,8,7,,,854.0,451.0,,Fixation
112,1039648,ID001,266802,1080,1920,8,7,,,862.0,442.0,,Fixation
113,1047981,ID001,266802,1080,1920,8,7,,,860.0,448.0,,Fixation
114,1056315,ID001,266802,1080,1920,8,7,,,855.0,448.0,,Fixation
115,1064648,ID001,266802,1080,1920,8,7,,,862.0,443.0,,Fixation
116,1072419,ID001,266802,1080,1920,8,7,Eye tracker Calibration start,,,,,Fixation
117,1072981,ID001,266802,1080,1920,8,7,,,853.0,449.0,,Fixation
118,1081315,ID001,266802,1080,1920,8,7,,,861.0,439.0,,Fixation
119,1089648,ID001,266802,1080,1920,8,7,,,855.0,448.0,,Fixation
120,1097981,ID001,266802,1080,1920,8,7,,,855.0,449.0,,Fixation
121,1106314,ID001,266802,1080,1920,8,7,,,855.0,449.0,,Fixation
122,1114647,ID001,266802,1080,1920,8,7,,,855.0,444.0,,Fixation
123,1122980,ID001,266802,1080,1920,8,7,,,859.0,452.0,,Fixation
124,1131314,ID001,266802,1080,1920,8,7,,,858.0,445.0,,Fixation
125,1139647,ID001,266802,1080,1920,8,7,,,862.0,448.0,,Fixation
126,1147980,ID001,266802,1080,1920,8,7,,,855.0,444.0,,Fixation
127,1156314,ID001,266802,1080,1920,8,7,,,854.0,458.0,,Fixation
128,1164647,ID001,266802,1080,1920,8,7,,,862.0,445.0,,Fixation
129,1172980,ID001,266802,1080,1920,8,7,,,856.0,452.0,,Fixation
130,1181314,ID001,266802,1080,1920,8,7,,,863.0,449.0,,Fixation
131,1189647,ID001,266802,1080,1920,8,7,,,864.0,448.0,,Fixation
132,1197980,ID001,266802,1080,1920,8,7,,,854.0,445.0,,Fixation
