,Recording timestamp,Participant name,Recording duration,Recording resolution height,Recording resolution width,Average calibration accuracy (pixels),Average calibration precision SD (pixels),Event,Event value,Gaze point X,Gaze point Y,Presented Media name,Eye movement type
0,0,ID010,120414,1080,1920,6,20,RecordingStart,,,,,
1,126458,ID010,120414,1080,1920,6,20,Eye tracker TTL in,255,,,,EyesNotFound
2,126458,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
3,134791,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
4,143124,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
5,151457,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
6,159790,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
7,168123,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
8,176456,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
9,184789,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
10,193122,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
11,201455,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
12,209788,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
13,218121,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
14,226454,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
15,234787,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
16,243120,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
17,251453,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
18,259786,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
19,268119,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
20,276452,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
21,284785,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
22,293118,ID010,120414,1080,1920,6,20,,,,,,EyesNotFound
23,301458,ID010,120414,1080,1920,6,20,,,1232.0,472.0,,Fixation
24,309790,ID010,120414,1080,1920,6,20,,,1231.0,470.0,,Fixation
25,318125,ID010,120414,1080,1920,6,20,,,1229.0,471.0,,Fixation
26,326458,ID010,120414,1080,1920,6,20,,,1233.0,472.0,,Fixation
27,334791,ID010,120414,1080,1920,6,20,,,1234.0,472.0,,Fixation
28,343126,ID010,120414,1080,1920,6,20,,,1230.0,472.0,,Fixation
29,351459,ID010,120414,1080,1920,6,20,,,1230.0,474.0,,Fixation
30,359792,ID010,120414,1080,1920,6,20,,,1231.0,474.0,,Fixation
31,368126,ID010,120414,1080,1920,6,20,,,1233.0,475.0,,Fixation
32,376459,ID010,120414,1080,1920,6,20,,,1236.0,477.0,,Fixation
33,384792,ID010,120414,1080,1920,6,20,,,1236.0,477.0,,Fixation
34,393126,ID010,120414,1080,1920,6,20,,,1237.0,479.0,,Fixation
35,401459,ID010,120414,1080,1920,6,20,,,1240.0,480.0,,Fixation
