,Recording timestamp,Participant name,Recording duration,Recording resolution height,Recording resolution width,Average calibration accuracy (pixels),Average calibration precision SD (pixels),Event,Event value,Gaze point X,Gaze point Y,Presented Media name,Eye movement type
0,0,ID003,317310,1080,1920,48,101,RecordingStart,,,,,
1,110605,ID003,317310,1080,1920,48,101,Eye tracker TTL in,255,,,,EyesNotFound
2,110605,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
3,118938,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
4,127271,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
5,135604,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
6,143937,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
7,152270,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
8,160603,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
9,168936,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
10,177269,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
11,185601,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
12,193934,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
13,202266,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
14,210599,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
15,218932,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
16,227265,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
17,235598,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
18,243931,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
19,252264,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
20,260597,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
21,268930,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
22,277263,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
23,285604,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
24,293937,ID003,317310,1080,1920,48,101,,,764.0,214.0,,Unclassified
25,302271,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
26,310604,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
27,318937,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
28,327271,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
29,335604,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
30,343937,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
31,352271,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
32,360604,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
33,368937,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
34,377271,ID003,317310,1080,1920,48,101,,,,,,EyesNotFound
