,Recording timestamp,Participant name,Recording duration,Recording resolution height,Recording resolution width,Average calibration accuracy (pixels),Average calibration precision SD (pixels),Event,Event value,Gaze point X,Gaze point Y,Presented Media name,Eye movement type
0,0,ID016,258446,1080,1920,3,7,RecordingStart,,,,,
1,110993,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
2,119328,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
3,127664,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
4,135997,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
5,144330,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
6,152664,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
7,160997,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
8,169329,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
9,177661,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
10,185993,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
11,194328,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
12,202662,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
13,210995,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
14,219329,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
15,227662,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
16,235995,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
17,244329,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
18,252662,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
19,260995,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
20,269329,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
21,277662,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
22,285995,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
23,294330,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
24,302663,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
25,310996,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
26,319329,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
27,327661,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
28,335993,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
29,344325,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
30,352660,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
31,360993,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
32,369326,ID016,258446,1080,1920,3,7,,,,,,EyesNotFound
