,Recording timestamp,Participant name,Recording duration,Recording resolution height,Recording resolution width,Average calibration accuracy (pixels),Average calibration precision SD (pixels),Event,Event value,Gaze point X,Gaze point Y,Presented Media name,Eye movement type
0,0,ID006,322016,1080,1920,11,26,RecordingStart,,,,,
1,113557,ID006,322016,1080,1920,11,26,Eye tracker TTL in,255,,,,EyesNotFound
2,113557,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
3,121893,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
4,130229,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
5,138562,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
6,146895,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
7,155228,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
8,163561,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
9,171894,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
10,180227,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
11,188560,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
12,196894,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
13,205227,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
14,213560,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
15,221893,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
16,230226,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
17,238560,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
18,246893,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
19,255226,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
20,263559,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
21,271892,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
22,280225,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
23,288558,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
24,296891,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
25,305224,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
26,313557,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
27,321890,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
28,330223,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
29,338556,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
30,346889,ID006,322016,1080,1920,11,26,,,,,,EyesNotFound
31,355223,ID006,322016,1080,1920,11,26,,,1007.0,549.0,,Fixation
32,363556,ID006,322016,1080,1920,11,26,,,1005.0,547.0,,Fixation
33,371890,ID006,322016,1080,1920,11,26,,,1001.0,548.0,,Fixation
34,380224,ID006,322016,1080,1920,11,26,,,1004.0,549.0,,Fixation
35,388557,ID006,322016,1080,1920,11,26,,,1006.0,546.0,,Fixation
36,396890,ID006,322016,1080,1920,11,26,,,1002.0,545.0,,Fixation
37,405224,ID006,322016,1080,1920,11,26,,,1001.0,545.0,,Fixation
38,413557,ID006,322016,1080,1920,11,26,,,1003.0,545.0,,Fixation
39,421890,ID006,322016,1080,1920,11,26,,,1001.0,543.0,,Fixation
40,430224,ID006,322016,1080,1920,11,26,,,1003.0,544.0,,Fixation
41,438557,ID006,322016,1080,1920,11,26,,,1004.0,543.0,,Fixation
42,446890,ID006,322016,1080,1920,11,26,,,1002.0,539.0,,Fixation
43,455224,ID006,322016,1080,1920,11,26,,,1003.0,539.0,,Fixation
44,463557,ID006,322016,1080,1920,11,26,,,1001.0,540.0,,Fixation
45,471890,ID006,322016,1080,1920,11,26,,,1002.0,538.0,,Fixation
46,480224,ID006,322016,1080,1920,11,26,,,1000.0,538.0,,Fixation
47,488557,ID006,322016,1080,1920,11,26,,,1005.0,541.0,,Fixation
48,496890,ID006,322016,1080,1920,11,26,,,1001.0,538.0,,Fixation
49,505224,ID006,322016,1080,1920,11,26,,,1001.0,537.0,,Fixation
50,513558,ID006,322016,1080,1920,11,26,,,1002.0,538.0,,Fixation
51,521891,ID006,322016,1080,1920,11,26,,,1004.0,542.0,,Fixation
52,530225,ID006,322016,1080,1920,11,26,,,1008.0,539.0,,Fixation
53,538558,ID006,322016,1080,1920,11,26,,,1002.0,536.0,,Fixation
54,546891,ID006,322016,1080,1920,11,26,,,1001.0,536.0,,Fixation
55,555225,ID006,322016,1080,1920,11,26,,,1003.0,536.0,,Fixation
56,563558,ID006,322016,1080,1920,11,26,,,1004.0,538.0,,Fixation
57,571891,ID006,322016,1080,1920,11,26,,,1007.0,538.0,,Fixation
58,580225,ID006,322016,1080,1920,11,26,,,1001.0,534.0,,Fixation
59,588558,ID006,322016,1080,1920,11,26,,,1003.0,536.0,,Fixation
60,596891,ID006,322016,1080,1920,11,26,,,1005.0,537.0,,Fixation
61,605225,ID006,322016,1080,1920,11,26,,,1001.0,535.0,,Fixation
62,613558,ID006,322016,1080,1920,11,26,,,1002.0,537.0,,Fixation
63,621891,ID006,322016,1080,1920,11,26,,,1001.0,534.0,,Fixation
64,630225,ID006,322016,1080,1920,11,26,,,1000.0,534.0,,Fixation
65,638558,ID006,322016,1080,1920,11,26,,,1003.0,539.0,,Fixation
66,646892,ID006,322016,1080,1920,11,26,,,1003.0,537.0,,Fixation
67,655226,ID006,322016,1080,1920,11,26,,,1003.0,537.0,,Fixation
68,663559,ID006,322016,1080,1920,11,26,,,1004.0,539.0,,Fixation
69,671892,ID006,322016,1080,1920,11,26,,,1000.0,533.0,,Fixation
70,680226,ID006,322016,1080,1920,11,26,,,1000.0,534.0,,Fixation
71,688559,ID006,322016,1080,1920,11,26,,,1001.0,534.0,,Fixation
