,Recording timestamp,Participant name,Recording duration,Recording resolution height,Recording resolution width,Average calibration accuracy (pixels),Average calibration precision SD (pixels),Event,Event value,Gaze point X,Gaze point Y,Presented Media name,Eye movement type
0,0,ID002,262649,1080,1920,31,81,RecordingStart,,,,,
1,70860,ID002,262649,1080,1920,31,81,Eye tracker TTL in,255,,,,EyesNotFound
2,70860,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
3,79193,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
4,87526,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
5,95859,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
6,104192,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
7,112525,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
8,120858,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
9,129191,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
10,137524,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
11,145857,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
12,154190,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
13,162523,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
14,170855,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
15,179188,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
16,187521,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
17,195854,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
18,204187,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
19,212520,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
20,220853,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
21,229186,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
22,237519,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
23,245859,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
24,254193,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
25,262526,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
26,270860,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
27,279192,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
28,287525,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
29,295859,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
30,304192,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
31,312525,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
32,320859,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
33,329192,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
34,337525,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
35,345859,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
36,354192,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
37,362525,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
38,370859,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
39,379192,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
40,387524,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
41,395858,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
42,404191,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
43,412524,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
44,420857,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
45,429190,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
46,437523,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
47,445856,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
48,454189,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
49,462522,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
50,470855,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
51,479188,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
52,487521,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
53,495853,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
54,504186,ID002,262649,1080,1920,31,81,,,,,,EyesNotFound
